"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration","TransAgonisticTotalDuration","TransAgonisticTotalOccur","TransAgonisticDeliveredDuration","TransAgonisticDeliveredOccur","TransAgonisticReceivedDuration","TransAgonisticReceivedOccur","TransNonSocialDuration","TransNonSocialOccur","TransInactiveNonSocialDuration","TransInactiveNonSocialOccur","TransFollowDur","TransFollowEv","TransDomEv","TransAttackDel","TransAttackRec","TransAvoidDur","TransAvoidEv","TransSubDur","TransSubEv","TransRitAggDur","TransRitAggEv","TransDefenseDur","TransDefenseEv","TransInactiveTogetherDur","TransInactiveTogetherEv","TransSniffHeadEv","TransStretchEv","TransDigDur","TransDigEv","TransInactiveDur","TransInactiveEv"
"270"," E21-02F","C","F","SHAM"," Colin",145331,243622,0,171391,0,164421,2771,22129,0,0,1355,293334,0,0,283951,321138,138346,12211,0,66,80,0,165,0,31,2,0,6,0,0,0,1,72,0,0,62,147,19,11,612,1497233,394,1170854,73,296162,8,24900,81,321062,65,271262,293,710091,268,629146,237,464725,31,164421,12.6793926445376,4.40671924726425,12.5986652574157,4.30406509320417,10.122663242289,2.19722457733622,13.3521202126705,5.59471137960184,12.0101915726025,3.46573590279973,9.41017435385477,2.484906649788,4.14313472639153,0,0,7.92732436030979,1.09861228866811,10.0046894330451,1.94591014905531,7.21229446850034,0.693147180559945,0,0,11.8375203008455,2.99573227355399,4.39444915467244,0,0,0,0,0
"271"," E21-03M","C","M","GDX"," Colin",140182,211679,0,125484,0,136989,0,9858,0,0,0,163939,0,0,272190,192885,546302,492,0,51,48,0,116,0,34,0,0,1,0,0,0,0,43,0,0,34,84,37,1,378,1116709,256,1373588,35,272682,1,9858,36,282540,34,262824,183,544746,193,426412,159,289423,34,136989,12.5515789517813,3.61091791264422,12.5160652273232,3.58351893845611,9.19614002257504,0.693147180559945,12.9631636391739,5.26785815906333,11.8276632094454,3.55534806148941,6.20050917404269,0.693147180559945,3.55534806148941,0,0,0,0,9.19614002257504,0.693147180559945,0,0,0,0,13.2109290458569,3.63758615972639,3.89182029811063,0,0,0,0,0
"272"," E21-05F","C","F","GDX"," Colin",151314,193166,0,181854,152399,223757,0,237239,0,0,0,209273,0,0,68439,338472,40609,3478,0,59,81,0,155,39,33,0,0,29,0,0,0,0,53,0,0,14,146,10,4,541,1383235,343,1032717,18,71917,29,237239,47,309156,-11,-165322,286,682952,280,767283,208,391127,72,376156,12.6416045174604,3.87120101090789,11.1832818600825,2.94443897916644,12.3768275659527,3.40119738166216,13.550612285609,5.63835466933375,12.8377618884124,4.29045944114839,8.15450017515194,1.6094379124341,2.70805020110221,0,0,0,0,12.3768275659527,3.40119738166216,0,0,0,0,10.6117696206803,2.39789527279837,4.40671924726425,0,0,0,11.9342639222347,3.68887945411394
"273"," E21-07M","C","M","SHAM"," Colin",81358,182179,0,227630,2319,332854,0,8759,0,13903,61534,340534,0,0,88872,207901,249139,3018,0,37,72,0,202,1,52,0,30,2,0,0,6,13,120,0,0,30,107,38,2,621,1215688,337,896663,62,91890,2,8759,64,100649,60,83131,216,471438,375,903337,322,568164,53,335173,11.5194044310679,4.17438726989564,11.4283583710127,4.14313472639153,9.07795118393044,1.09861228866811,13.7138520702261,5.92958914338989,12.7224050789492,3.98898404656427,8.01268092970684,1.09861228866811,3.43398720448515,3.43398720448515,0,0,0,9.07795118393044,1.09861228866811,11.0273613976064,2.63905732961526,0,0,12.4257702664401,3.66356164612965,4.29045944114839,0,0,0,7.74932246466036,0.693147180559945
"274"," E21-08F","C","F","REP"," Colin",93467,246210,2933,162274,74600,173012,0,138705,0,0,3600,287816,0,0,136455,352138,125422,3368,0,51,78,2,145,16,56,0,0,17,4,0,0,1,85,0,0,35,132,29,6,556,1426966,353,1099365,41,139823,21,138705,62,278528,20,1118,261,691815,304,700635,232,453023,72,247612,12.5372774621923,4.14313472639153,11.8481397678673,3.73766961828337,11.8401118641993,3.09104245335832,13.4597437729529,5.72031177660741,12.4196223224531,4.29045944114839,8.12237124340655,1.94591014905531,3.58351893845611,0,1.6094379124341,0,0,11.8401118641993,2.89037175789616,8.18896686364888,0.693147180559945,0,0,11.739447303441,3.40119738166216,4.36944785246702,0,7.98412195870293,1.09861228866811,11.2199091909277,2.83321334405622
"275"," E21-09M","C","M","REP"," Colin",102170,292149,1560,223446,4004,158550,0,37202,0,6714,72186,314658,0,0,35568,340195,205438,6160,0,44,75,1,179,3,32,0,24,9,0,0,4,19,94,0,0,9,133,24,4,595,1432008,345,1097782,37,41728,9,37202,46,78930,28,4526,252,734514,309,702218,274,539664,35,162554,11.2763293320761,3.85014760171006,10.6389516097231,3.63758615972639,10.5241446821709,2.30258509299405,13.4620006001687,5.73657229747919,11.9987716850252,3.58351893845611,8.72599438101457,1.6094379124341,2.30258509299405,3.2188758248682,0,0,0,10.5241446821709,2.30258509299405,11.1870152532673,2.99573227355399,0,0,12.2329044318706,3.2188758248682,4.33073334028633,0,7.35308192051543,0.693147180559945,8.29529885950246,1.38629436111989
"276"," E22-02F","T","F","REP"," Colin",199683,169969,0,92805,672,139084,0,271133,575,0,0,75638,0,0,70571,552833,224380,2657,0,99,47,0,101,1,39,0,0,35,0,1,0,0,19,0,0,12,187,50,6,507,1435864,437,1491801,18,73228,36,271708,54,344936,-18,-198480,333,922485,160,308199,120,168443,40,139756,12.7511170706428,4.00733318523247,11.2013467963563,2.94443897916644,12.5124869196358,3.61091791264422,12.6385042018682,5.08140436498446,11.8476604792083,3.71357206670431,7.88532923927319,1.94591014905531,2.56494935746154,0,0,0,0,12.510368442599,3.58351893845611,0,0,6.35610766069589,0.693147180559945,12.3211007788142,3.93182563272433,3.87120101090789,0,0,0,6.51174532964473,0.693147180559945
"277"," E22-03M","T","M","REP"," Colin",244894,229080,0,135719,11224,296498,1890,168744,0,2954,23286,121622,0,0,7012,419396,128630,9051,0,103,61,0,136,7,77,1,1,15,1,0,2,6,48,0,0,4,160,24,9,547,1363648,387,1234937,14,16063,17,170634,31,186697,-3,-154571,324,893370,268,565063,184,257341,84,307722,12.1372476170996,3.46573590279973,9.68433602249146,2.70805020110221,12.0472820512626,2.89037175789616,13.2446942780498,5.59471137960184,12.6369553066479,4.44265125649032,9.11074100675343,2.30258509299405,1.6094379124341,0.693147180559945,0.693147180559945,7.54486106865846,0.693147180559945,12.0361439786662,2.77258872223978,10.0556505439332,1.94591014905531,0,0,11.7647031192787,3.2188758248682,4.12713438504509,0,0,0,9.32589871261045,2.07944154167984
"278","E22-06M","T","M","GDX"," Colin",316782,115525,0,229784,21269,234187,0,28783,0,0,0,340553,0,0,8699,368887,125926,9605,2,117,52,0,227,9,80,0,0,12,0,0,0,0,109,0,0,6,169,25,10,704,1418618,393,974207,16,18304,12,28783,28,47087,4,-10479,340,801194,425,825793,336,570337,89,255456,10.7597734704733,3.36729582998647,9.81492952555434,2.83321334405622,10.2675749561903,2.56494935746154,13.624100626726,6.05443934626937,12.4508093770063,4.49980967033027,9.17014318222477,2.39789527279837,1.94591014905531,0,0,0,0,10.2675749561903,2.56494935746154,0,0,0,0,11.7434576529575,3.25809653802148,3.97029191355212,1.09861228866811,0,0,9.96505290819428,2.30258509299405
"279"," E22-07M","T","M","SHAM"," Colin",139533,158717,0,166725,0,193220,0,9938,0,934,1368,269054,0,0,133628,339536,380392,6955,0,65,53,0,174,0,30,0,12,4,1,0,1,1,86,0,0,42,161,45,6,606,1226388,391,1171001,60,140583,5,9938,65,150521,55,130645,279,637786,290,628999,260,435779,30,193220,11.9218645318899,4.18965474202643,11.8535604538747,4.11087386417331,9.20422169096801,1.79175946922805,13.3518865356826,5.67332326717149,12.1715898905058,3.43398720448515,8.84735987547417,1.94591014905531,3.76120011569356,2.56494935746154,0.693147180559945,0,0,9.20422169096801,1.6094379124341,7.22183582528845,0.693147180559945,0,0,12.8489602078016,3.8286413964891,3.98898404656427,0,0,0,0,0
