,Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
21, E15-ZF,C,F,PRE,NA, Colin,155170,103650,5722,152414,0,13088,0,2981,0,0,0,150731,0,0,56562,251964,0,7718,3,79,-999,3,103,0,7,0,0,2,0,0,0,0,68,0,0,8,166,0,11,521,886912,347,578045,19,64280,2,2981,21,67261,17,61299,326,510784,181,321955,174,308867,7,13088,941.7605853,11.11635072,253.5369796,2.995732274,54.60769177,1.732050808,567.4116671,13.49073756,555.7589405,13.22875656,9.479527462,2.079441542,0,0,0,237.8297711,2.197224577,87.85783972,2.48490665,54.60769177,1.732050808,11.95228301,4.382026635,0,0,8.652248422,1.386294361,0,0,9.479527462,2.079441542
22, E16-02F,T,F,PRE,NA, Colin,179315,91630,0,118596,1856,70442,0,10088,0,0,0,138316,0,0,11293,269903,3664,4897,1,66,36,0,115,1,17,0,0,3,0,0,0,0,88,0,0,4,96,1,9,418,824038,216,570790,13,16190,3,10088,16,26278,10,6102,199,540848,221,329210,203,256912,18,72298,907.765939,10.17652542,127.2438604,2.63905733,100.4440143,2,573.7691173,14.89966443,506.86586,14.28285686,11.18856558,2.944438979,0,0,0,106.2732328,1.609437912,69.98571283,2.302585093,100.4440143,2,12.09690489,4.204692619,8.206583614,0.693147181,0,0,7.526717561,0.693147181,11.16255915,2.890371758
23, E16-08F,T,F,PRE,NA, Colin,270581,47725,0,64859,5188,9293,1025,15479,0,0,324,75195,0,0,19100,317686,22900,50645,5,120,18,0,73,3,4,1,0,5,0,0,0,1,37,0,0,5,109,2,66,440,862619,332,745465,71,69745,6,16504,77,86249,-999,53241,252,635992,117,154535,110,140054,7,14481,928.7733846,11.36500533,264.09468,4.276666119,128.4717868,2.645751311,393.1106714,10.86278049,374.2392283,10.53565375,9.580661778,2.079441542,5.783825182,0.693147181,0,138.2063674,1.791759469,225.0466618,4.204692619,124.4186481,2.449489743,12.50833047,4.795790546,10.03893586,1.098612289,0,0,8.554296279,1.386294361,9.13712431,1.609437912
24, E16-12F,T,F,PRE,NA, Colin,210681,32973,0,79381,38104,61270,0,36328,0,0,0,173476,0,0,2966,255745,3327,4933,4,55,20,0,66,13,9,0,0,3,0,0,0,0,55,0,0,1,76,2,7,287,796483,168,546953,8,7899,3,36328,11,44227,5,-28429,155,499399,143,352231,121,252857,22,99374,892.4595229,10.69711335,88.88194417,2.197224577,190.6016789,2,593.4913647,12,502.8498782,11.04536102,11.50665585,3.135494216,0,0,0,54.47017533,0.693147181,70.24243732,2.079441542,190.6016789,2,12.25810517,4.025351691,8.110126802,1.098612289,0,0,10.54810079,2.63905733,11.02306193,2.302585093
25, E16M,T,M,PRE,NA, Colin,228782,25289,0,153612,2475,20302,0,42043,0,0,1257,88250,0,0,16434,296503,4001,21052,1,109,20,0,144,2,8,0,0,4,6,0,0,1,46,0,0,3,109,1,27,470,873222,281,635361,30,37486,10,42043,40,79529,20,-4557,239,550574,200,264639,190,241862,10,22777,934.4640175,11.28388959,193.6155985,3.433987204,205.0463362,3.31662479,514.4317253,14.17744688,491.7956893,13.82027496,10.03355044,2.397895273,7.137278437,0.693147181,1.945910149,128.199064,1.386294361,145.0965196,3.33220451,205.0463362,2.236067977,12.34052924,4.700480366,8.294549515,0.693147181,0,0,7.814399634,1.098612289,9.918523937,2.197224577
26, E17-03F,T,F,PRE,NA, Colin,246382,-999,0,66216,0,10816,521,26935,0,0,0,42098,0,0,33210,265675,0,22639,0,122,-999,0,61,0,4,1,0,9,0,0,0,0,29,0,0,4,146,0,37,474,889184,384,780870,41,55849,10,27456,51,83305,31,28393,333,697565,94,119130,90,108314,4,10816,942.9660651,11.33027585,236.326046,3.737669618,165.7015389,3.31662479,345.153589,9.746794345,329.1124428,9.539392014,9.28887425,1.609437912,0,0,0,182.2388543,1.609437912,150.465943,3.63758616,164.1219059,3.16227766,12.41464251,4.812184355,0,0,0,0,0,0,9.28887425,1.609437912
27, E17-07F,T,F,PRE,NA, Colin,252027,78812,0,96379,10146,43574,0,51796,642,0,0,124155,0,0,4427,208959,3949,25134,3,101,46,0,87,6,22,0,0,14,0,1,0,0,48,0,0,1,120,2,33,454,842331,321,625746,34,29561,15,52438,49,81999,19,-22877,270,539798,163,274254,135,220534,28,53720,917.7864675,11.31447453,171.9360346,3.555348061,228.9956331,4,523.6936127,12.80624847,469.6115416,11.66190379,10.89155927,3.36729583,0,0,0,66.54321904,0.693147181,158.5402157,3.526360525,227.5895428,3.872983346,12.43729547,4.624972813,8.281470858,1.098612289,0,0,9.224933374,1.945910149,10.68223887,3.135494216
28, E17-09M,T,M,PRE,NA, Colin,164287,58628,0,106854,0,20705,378,6926,0,1278,6308,49724,0,0,215240,256493,0,13179,1,73,44,0,93,0,4,1,10,1,3,0,1,1,34,0,0,41,130,0,10,443,879295,316,722717,61,228419,5,7304,66,235723,-999,-999,248,479408,131,177283,127,156578,4,20705,937.7078436,12.37041691,477.9330497,4.127134385,85.46929273,2.449489743,421.0510658,11.48912529,395.7006444,11.3137085,9.938178792,1.609437912,8.749732464,0.693147181,1.386294361,463.940729,3.737669618,114.8041811,2.397895273,83.22860085,1.414213562,12.00937626,4.304065093,0,0,0,0,0,0,9.938178792,1.609437912
29, E20-01M,T,M,PRE,NA, Colin,114902,97514,0,167474,7364,11329,661,17066,713,17122,23420,221716,0,0,51819,158921,0,9979,2,63,36,0,99,8,7,1,18,10,13,1,4,12,80,0,0,10,74,0,14,437,881307,258,492117,42,61798,25,18440,67,80238,17,43358,175,371337,194,407883,179,389190,15,18693,938.7800594,11.29276496,248.5940466,3.761200116,135.7976436,5.099019514,638.6579679,13.96424004,623.8517452,13.41640786,9.835957896,2.772588722,10.06138833,2.564949357,2.63905733,227.6400668,2.397895273,99.89994995,2.708050201,130.6407287,3.31662479,11.65184357,4.158883083,0,0,0,0,8.904494329,2.197224577,9.335209354,2.079441542
30, E20-03F,T,F,PRE,NA, Colin,407659,45516,0,37089,2065,30988,0,44227,904,0,2517,6869,311,0,12058,290993,0,18723,1,138,26,0,38,1,5,0,0,24,0,1,0,2,5,1,0,2,134,0,31,403,866866,360,822908,33,30781,25,45131,58,75912,8,-14350,300,744479,49,77011,43,43958,6,33053,931.0569263,11.23734323,175.447998,3.526360525,212.4429335,5.099019514,277.5103602,7.071067812,209.6640169,6.633249581,10.40589787,1.945910149,7.831220215,1.098612289,0,109.8134782,1.098612289,136.8356679,3.465735903,210.3045411,5,12.91818877,4.934473933,0,0,0,0,7.63336965,0.693147181,10.34138758,1.791759469
31, E20-05F,T,F,PRE,NA, Colin,143912,37020,5524,180418,3716,44567,0,5755,0,0,0,334893,2285,0,840,136036,0,5034,0,79,19,2,179,2,13,0,0,6,0,0,0,0,130,1,0,1,106,0,6,529,851717,218,330882,7,5874,6,5755,13,11629,1,119,205,319253,326,569118,311,520835,15,48283,922.8856917,9.361343246,76.64854858,2.079441542,75.86830695,2.645751311,754.3997614,18.08314132,721.689684,17.66352173,10.78485552,2.772588722,0,0,0,29,0.693147181,70.9577339,1.945910149,75.86830695,2.645751311,11.87696423,4.382026635,0,0,8.617038526,1.098612289,8.22067217,1.098612289,10.70477139,2.63905733
32, E21-01F,C,F,PRE,NA, Colin,280101,52210,0,128870,3361,27115,0,32327,0,0,0,87981,0,0,480,269232,2816,15507,0,101,15,0,103,3,7,0,0,6,0,0,0,0,47,0,0,1,95,1,23,391,866708,242,652673,24,15987,6,32327,30,48314,18,-16340,211,601543,160,247327,150,216851,10,30476,930.9720726,10.78549735,126.4436633,3.218875825,179.7998888,2.645751311,497.320822,12.68857754,465.6737055,12.28820573,10.32472758,2.397895273,0,0,0,21.9317122,0.693147181,124.5311206,3.17805383,179.7998888,2.645751311,12.5429091,4.624972813,7.943427768,0.693147181,0,0,8.120291314,1.386294361,10.20787924,2.079441542
33, E21-04M,C,M,PRE,NA, Colin,263289,51474,1488,137523,2237,22106,0,74424,0,0,0,99729,0,0,4128,216421,0,27181,0,104,23,1,111,2,6,0,0,14,2,0,0,0,55,0,0,1,103,0,38,452,875657,285,636917,39,31309,16,74424,55,105733,23,-43115,230,531184,175,263083,167,238740,8,24343,935.7659964,11.56868179,176.9463195,3.688879454,272.8094573,4.123105626,512.9171473,13.26649916,488.6112975,12.9614814,10.10004069,2.197224577,0,0,1.098612289,64.25729531,0.693147181,164.8696455,3.663561646,272.8094573,3.872983346,12.48101137,4.65396035,0,0,7.305860033,0.693147181,7.713337889,1.098612289,10.00364958,1.945910149
34, E21-07M,C,M,PRE,NA, Colin,152623,56690,0,129723,9340,47238,0,9080,0,0,0,137526,0,0,19536,322074,4853,11317,1,59,29,0,102,7,11,0,0,3,0,0,0,0,48,0,0,7,92,1,16,357,838569,208,576173,23,30853,3,9080,26,39933,20,21773,181,531387,168,323827,150,267249,18,56578,915.7346777,10.59498337,175.6530672,3.17805383,95.29428105,2,569.0588722,13,516.962281,12.28820573,10.94339317,2.944438979,0,0,0,139.7748189,2.079441542,106.3860893,2.833213344,95.29428105,2,11.93573266,4.094344562,8.487558386,0.693147181,0,0,9.142168592,2.079441542,10.7629751,2.48490665
