"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"246"," E16-07M","T","M","GDX"," Colin",134008,410531,0,200598,4765,196358,0,102480,0,0,0,359767,0,0,22866,354376,9992,3833,0,53,100,0,176,3,54,0,0,12,0,0,0,0,96,0,0,4,148,2,5,594,1588459,324,1038086,9,26699,12,102480,21,129179,-3,-75781,301,898915,329,761488,272,560365,57,201123
"247"," E16-11F","T","F","REP"," Colin",189936,133761,0,195140,0,131344,0,293506,0,0,0,149311,0,0,62152,420838,221966,2046,0,78,48,0,156,0,26,0,0,34,0,0,0,0,60,0,0,19,152,17,3,550,1446690,351,1324205,22,64198,34,293506,56,357704,-12,-229308,278,744535,242,475795,216,344451,26,131344
"248"," E16-12F","T","F","GDX"," Colin",278092,120338,2541,173360,0,418044,0,35364,1226,0,0,125233,0,0,159418,422515,53664,10205,0,96,49,1,143,0,50,0,0,7,1,1,0,0,60,0,0,14,164,6,12,548,1328292,350,1080822,26,169623,9,36590,35,206213,17,133033,309,820945,254,719178,204,301134,50,418044
"249"," E16-15M","T","M","REP"," Colin",17952,76239,0,278739,109202,697782,0,0,2712,34060,291906,191149,0,0,0,84896,0,15363,0,7,34,0,168,35,83,0,111,0,1,1,17,63,60,0,0,0,52,0,6,520,993016,292,523128,117,15363,2,2712,119,18075,115,12651,93,179087,346,1276872,228,469888,118,806984
"250"," E17-01F","T","F","REP"," Colin",176116,330806,0,149951,502,407309,0,14697,0,0,0,128107,0,0,36396,471516,84600,0,0,73,96,0,150,1,48,0,0,8,0,0,0,0,45,0,0,11,169,10,0,552,1307589,367,1114131,11,36396,8,14697,19,51093,3,21699,338,978438,244,685869,195,278058,49,407811
"251"," E17-02M","T","M","GDX"," Colin",92845,232484,0,184170,0,224942,0,172058,0,0,1875,217699,0,0,204351,355221,114355,0,0,44,68,0,162,0,61,0,0,16,1,0,0,1,63,0,0,21,140,4,0,516,1460703,295,1173189,21,204351,17,172058,38,376409,4,32293,252,680550,286,626811,225,401869,61,224942
"252"," E17-04M","T","M","SHAM"," Colin",89440,284295,1680,217715,0,231724,0,65126,0,0,0,241605,0,0,192331,400432,74704,948,0,41,74,1,168,0,47,0,0,9,0,0,0,0,83,0,0,25,142,7,1,544,1493572,299,1107276,26,193279,9,65126,35,258405,17,128153,257,774167,299,692724,252,461000,47,231724
"253"," E17-05F","T","F","SHAM"," Colin",168405,431883,0,211732,0,89825,0,30376,0,0,0,314339,0,1071,32605,462520,57244,0,0,74,123,0,206,0,21,0,0,5,0,0,0,0,79,0,1,12,203,10,0,703,1652931,427,1183033,12,32605,5,30376,17,62981,7,2229,400,1062808,307,616967,285,526071,21,89825
"254"," E17-08F","T","F","REP"," Colin",74690,283504,0,187849,19372,313360,0,23947,0,4211,14866,269024,0,0,175761,347117,85467,480,0,43,89,0,168,3,77,0,15,3,0,0,2,5,77,0,0,32,141,8,1,576,1381449,339,1010043,48,176241,3,23947,51,200188,45,152294,273,705311,325,789605,245,456873,80,332732
"255"," E18-03F","T","F","REP"," Colin",109112,285544,0,222692,8867,295114,0,48938,0,0,0,235771,0,0,97345,366670,125811,4136,0,55,94,0,174,4,79,0,0,5,0,0,0,0,74,0,0,9,140,10,4,555,1370208,317,1037556,13,101481,5,48938,18,150419,8,52543,289,761326,331,762444,248,458463,83,303981
"256"," E18-05F","T","F","SHAM"," Colin",124487,273804,0,250394,962,223599,0,31404,0,0,0,394899,0,0,31429,462934,1218,4870,0,65,98,0,227,1,76,0,0,11,0,0,0,0,142,0,0,9,203,1,6,761,1574221,393,930146,15,36299,11,31404,26,67703,4,4895,366,861225,446,869854,369,645293,77,224561
"257"," E18-06F","T","F","GDX"," Colin",136327,94278,5784,224790,26936,289735,0,201087,970,0,0,146525,0,0,82780,322154,267998,636,0,57,42,1,149,11,67,0,0,27,0,1,0,0,55,0,0,5,106,21,1,444,1215331,260,1106230,6,83416,28,202057,34,285473,-22,-118641,205,552759,283,693770,205,377099,78,316671
"258"," E18-08M","T","M","GDX"," Colin",102924,137193,0,184380,3420,90461,912,215473,2031,0,0,241118,0,0,53590,359753,408745,0,1,50,46,0,159,1,29,1,0,17,0,3,0,0,87,0,0,4,103,23,0,471,1297374,248,1280621,4,53590,21,218416,25,272006,-17,-164826,200,599870,276,519379,246,425498,30,93881
