Mouse,Sex,Treatment,Gonad,GonadWeight,ProstateWeight,AnimalWeight
E18-03F,F,T,REP,-999,-999,36.7
E18-05F,F,T,SHAM,0.176,-999,-999
E18-06F,F,T,GDX,-999,-999,-999
E18-08M,M,T,GDX,-999,0.116,41.9
E18-09M,M,T,SHAM,0.3433,0.21,35.7
E18-10F,F,T,SHAM,0.0837,-999,31.2
E2-01,M,C,REP,-999,0.28,42.8
E2-02,F,C,GDX,-999,-999,36.5
E2-03,F,C,SHAM,0.11,-999,26
E2-04,M,C,GDX,-999,0.25,38.2
E2-05,F,C,REP,-999,-999,31.2
E2-06,M,C,GDX,-999,0.17,39.2
E2-07,M,C,REP,-999,0.266,-999
E2-08,M,C,SHAM,0.29,0.23,37.9
E20-02F,F,T,REP,-999,-999,34.3
E20-03F,F,T,GDX,-999,-999,37.7
E20-04F,F,T,SHAM,0.067,-999,28.8
E20-05F,F,T,REP,-999,-999,30.5
E20-06F,F,T,GDX,-999,-999,30.2
E20-07F,F,T,REP,-999,-999,30.9
E20-09F,F,T,REP,-999,-999,36.8
E21-03M,M,C,GDX,-999,0.1711,40.5
E21-04M,M,C,GDX,-999,0.0558,38.5
E21-05F,F,C,GDX,-999,-999,36.6
E21-07M,M,C,SHAM,0.2552,0.32,38.9
E21-08F,F,C,REP,-999,-999,32.2
E21-09M,M,C,REP,-999,0.2672,36.7
E22-02F,F,T,REP,-999,-999,31.3
E22-03M,M,T,REP,-999,0.2587,43.8
E22-04F,F,T,GDX,-999,-999,31.1
E22-06M,M,T,GDX,-999,0.0962,37.7
E22-07M,M,T,SHAM,0.3042,0.2402,40.2
E22-09M,M,T,SHAM,-999,-999,40.1
E23-01M,M,T,SHAM,0.186,0.402,41.1
E23-03M,M,T,SHAM,0.497,0.106,40.3
E23-05F,F,T,GDX,-999,-999,38.1
E23-07M,M,T,REP,-999,0.3368,39.7
E23-09F,F,T,SHAM,0.134,-999,32
E24-03M,M,T,GDX,-999,0.0383,39.6
E24-06M,M,T,SHAM,0.2836,0.3107,40.9
E24-07M,M,T,GDX,-999,0.084,34.2
E24-10F,F,T,SHAM,0.0978,-999,31.6
E24-11F,F,T,SHAM,0.0489,-999,30.6
E24-13M,M,T,REP,-999,0.1446,-999
E24-14F,F,T,GDX,-999,-999,37.7
E24-15M,M,T,REP,-999,0.125,37.6
E25-01M,M,T,SHAM,0.261,0.1162,36.1
E25-04F,F,T,REP,-999,-999,33.2
E25-05M,M,T,GDX,-999,0.086,40.4
E25-06M,M,T,REP,-999,0.1004,41.8
E25-07M,M,T,SHAM,0.241,0.123,37
E25-08F,F,T,REP,-999,-999,33.8
E26-01F,F,C,GDX,-999,-999,29.7
E26-03M,M,C,SHAM,0.4253,0.2572,41.1
E26-04F,F,C,SHAM,0.2088,-999,32
E26-05M,M,C,GDX,-999,0.1174,40.9
E26-06F,F,C,REP,-999,-999,36.2
E26-07M,M,C,REP,-999,0.063,39.8
E26-08M,M,C,SHAM,0.4327,0.45,43
E27-02M,M,C,SHAM,0.2705,0.2387,39.8
E27-03M,M,C,REP,-999,0.1627,45.6
E27-05F,F,C,SHAM,0.1446,-999,33
E27-06M,M,C,GDX,-999,0.076,46.5
E27-07M,M,C,REP,-999,0.0601,39.6
E27-08F,F,C,GDX,-999,-999,37.4
E27-09M,M,C,SHAM,0.2816,0.2715,40.4
E3-01,M,T,GDX,-999,0.155,40.9
E3-02,M,T,REP,-999,0.28,39.2
E3-03,M,T,SHAM,0.31,0.29,36
E3-04,M,T,REP,-999,-999,33.1
E3-05,M,T,GDX,-999,0.077,36.1
E3-07,M,T,SHAM,0.25,0.22,39.1
E3-08,F,T,GDX,-999,-999,37.4
E4-01,F,C,GDX,-999,-999,31.4
E4-02,F,C,REP,-999,-999,31.2
E4-03,F,C,SHAM,0.088,-999,29.3
E4-04,M,C,SHAM,0.31,0.256,40.7
E4-05,F,C,REP,-999,-999,32.2
E4-06,M,C,REP,-999,0.156,39.7
E4-07,M,C,SHAM,0.284,0.264,44.7
E4-08,M,C,GDX,-999,0.186,40.8
E5-01,F,T,SHAM,0.1125,-999,-999
E5-02,M,T,SHAM,0.355,0.25,40.6
E5-03,F,T,REP,-999,-999,35.8
E5-04,M,T,REP,-999,0.204,40.9
