Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E24-10F,T,F,PRE,NA, Colin,74129,18433,0,110919,399,288449,0,26714,0,0,0,149329,0,0,11427,140808,69346,10047,0,48,12,0,76,1,18,0,0,6,0,0,0,0,56,0,0,1,71,5,11
 E24-11F,T,F,PRE,NA, Colin,146369,88602,0,195190,29130,30564,0,29448,4107,0,0,179073,0,0,2140,181361,10585,3431,3,73,32,0,132,15,11,0,0,5,1,1,0,0,72,0,0,1,90,2,5
 E25-02F,T,F,PRE,NA, Colin,170922,59584,20910,108134,409,8508,0,5436,0,0,440,198666,0,0,1760,312755,849,11627,0,123,52,4,111,1,3,0,0,2,0,0,0,1,85,0,0,1,176,1,21
 E25-04F,T,F,PRE,NA, Colin,136297,41742,11867,125463,0,14167,0,4511,0,0,4072,227273,0,0,44313,258553,16486,15256,0,65,29,8,89,0,5,0,3,2,0,0,0,3,63,0,0,12,116,1,23
 E25-06M,T,M,PRE,NA, Colin,92404,53365,0,127442,34226,100217,3252,611,1448,0,3535,73323,0,0,119320,275380,5285,10192,0,55,34,0,72,9,13,4,16,1,0,1,0,1,35,0,0,26,116,3,13
 E25-07M,T,M,PRE,NA, Colin,80380,81147,0,152575,565,14660,0,40121,0,0,0,125871,0,0,80680,311443,5798,6760,0,31,49,0,120,1,4,0,1,7,0,0,0,0,81,0,0,10,111,2,5
 E26-01F,C,F,PRE,NA, Colin,306405,23725,34653,139325,0,21063,0,1591,0,0,0,130984,0,0,16983,218175,0,7096,0,109,18,14,124,0,8,0,1,1,0,0,0,0,72,0,0,5,124,0,11
 E26-02F,C,F,PRE,NA, Colin,241978,94980,0,81749,0,15440,0,0,0,0,0,73830,0,0,53931,334086,0,4006,0,81,46,0,64,0,5,0,0,0,0,0,0,0,29,0,0,20,126,0,6
 E26-03M,C,M,PRE,NA, Colin,128243,78657,0,135916,0,13899,6833,44229,1608,22161,104387,84305,0,0,881,254770,12539,11572,0,60,44,0,101,0,3,8,6,16,15,1,7,29,51,0,0,1,97,1,12
 E26-05M,C,M,PRE,NA, Colin,76379,27169,0,134967,0,59031,0,79735,0,18678,56093,172162,0,0,21518,206330,46452,1486,0,29,17,0,109,0,16,0,10,12,2,0,7,14,76,0,0,6,73,2,3
