Subject,Treatment,Sex,GonadState,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E26-01F,C,F,GDX, Colin,132024,59194,1936,50645,0,9553,0,250065,0,0,0,40049,0,0,0,334491,11893,10150,0,83,38,1,49,0,1,0,0,26,1,0,0,0,25,0,0,0,134,2,13
 E26-03M,C,M,SHAM, Colin,216066,63125,9454,152732,4124,8413,0,9379,0,0,658,197097,0,0,41207,175568,18723,3454,0,58,30,6,121,3,2,0,2,4,3,0,0,1,96,0,0,9,86,2,5
 E26-05M,C,M,GDX, Colin,51711,77212,17062,115127,69225,29375,0,18145,202,0,0,100028,0,0,0,227672,192327,1914,0,26,19,3,81,17,11,0,0,5,0,1,0,0,56,0,0,0,53,10,3
 E26-08M,C,M,SHAM, Colin,150458,49782,1199,82987,5207,16108,0,13841,0,0,0,101865,0,0,8835,341332,123818,4568,0,49,15,1,67,2,5,0,0,4,0,0,0,0,41,0,0,1,73,9,7
 E27-02M,C,M,SHAM, Colin,59251,47533,0,97341,0,13467,0,0,0,2350,4544,169487,0,347701,53938,80760,0,23628,0,25,23,0,110,0,3,0,21,0,2,0,1,2,99,0,30,9,51,0,3
 E27-09M,C,M,SHAM, Colin,132951,80724,64652,109680,3671,26452,0,4886,0,0,0,207474,0,0,88193,174528,0,6789,0,44,43,16,96,3,10,0,5,2,0,0,0,0,93,0,0,11,96,0,10
 E28-01F,C,F,SHAM, Colin,343993,29615,0,40580,0,11717,0,216247,0,0,1444,9889,0,0,1062,228816,1650,14987,0,156,12,0,70,0,2,0,0,50,0,0,0,1,12,0,0,2,140,2,31
 E28-02F,C,F,GDX, Colin,70170,126545,0,85812,0,13394,0,71040,1,0,0,178028,0,0,63495,284949,0,6566,0,59,88,0,97,0,6,0,0,36,0,1,0,0,93,0,0,24,148,0,9
 E28-03F,C,F,REP, Colin,192906,113607,0,51435,0,17868,0,182614,849,0,0,51862,0,0,7497,275097,0,6265,0,122,62,0,62,0,3,0,0,46,0,1,0,0,28,0,0,5,163,0,16
 E28-06M,C,M,REP, Colin,107859,102708,33788,115576,0,34319,0,84588,55,0,0,215999,0,0,20941,179329,0,4838,0,68,46,14,122,0,15,0,0,16,0,1,0,0,68,0,0,13,100,0,7
 E28-07F,C,F,SHAM, Colin,220502,97009,1918,99348,0,10646,0,24910,0,0,0,125115,0,32,93707,215558,0,11255,0,118,51,1,123,0,5,0,0,16,0,0,0,0,65,0,1,36,161,0,20
 E28-08M,C,M,GDX, Colin,229160,142175,0,96403,0,3615,0,14394,104,0,0,45684,0,0,44187,318183,0,6095,0,125,57,0,127,0,3,0,0,8,0,1,0,0,36,0,0,18,161,0,8
 E29-01F,C,F,SHAM, Colin,170625,72332,0,66890,0,13395,0,206612,0,0,0,38544,0,0,18610,310955,0,2037,0,123,42,0,125,0,4,0,0,81,0,0,0,0,42,0,0,5,197,0,6
 E29-02F,C,F,GDX, Colin,224108,96855,0,82858,6252,7835,0,87840,0,0,0,40267,0,0,5825,298293,43715,6152,0,115,29,0,76,4,6,0,0,44,0,0,0,0,22,0,0,5,135,9,12
 E29-03F,C,F,GDX, Colin,70851,150858,1172,47797,0,61825,0,237195,0,0,0,36979,0,0,31382,260338,0,1603,0,52,46,1,48,0,16,0,0,15,0,0,0,0,23,0,0,6,109,0,2
 E29-07M,C,M,REP, Colin,131111,164431,0,80928,0,15289,0,25203,960,0,0,116965,0,568,110966,243735,0,9844,0,76,56,0,100,0,5,0,0,11,1,1,0,0,68,0,1,32,145,0,16
 E30-04M,C,M,SHAM, Colin,204464,108923,295,62162,968,26624,0,70305,0,0,0,89508,0,0,11970,304530,15497,4754,0,98,46,1,79,1,17,0,0,12,0,0,0,0,48,0,0,9,136,5,11
 E30-05M,C,M,REP, Colin,118504,118950,10232,71453,0,9335,0,179077,0,0,0,101882,0,351,61157,219372,3250,6437,0,66,50,3,83,0,7,0,0,27,0,0,0,0,53,0,1,11,99,1,9
 E30-06F,C,F,SHAM, Colin,124701,164464,0,45228,1025,6342,592,143712,2751,0,0,43245,0,824,62814,215133,80661,8508,0,73,43,0,47,1,2,1,0,20,0,2,0,0,21,0,1,10,85,11,15
 E30-07M,C,M,REP, Colin,92636,189682,0,99637,0,10811,0,37056,0,1704,13505,135256,0,0,73931,234536,5776,5470,0,80,79,0,119,0,5,0,28,14,0,0,1,7,88,0,0,27,159,3,12
 E31-01F,C,F,REP, Colin,184648,166740,376,101051,0,11432,0,46346,0,0,0,89218,0,0,6139,291124,0,2926,0,110,64,1,136,0,5,0,0,30,0,0,0,0,63,0,0,6,193,0,6
 E31-02F,C,F,GDX, Colin,73734,163265,0,66540,287,9143,0,164445,0,0,0,136852,0,0,78471,199985,3736,3542,0,55,67,0,64,1,4,0,0,34,0,0,0,0,47,0,0,19,112,3,7
 E31-06M,C,M,REP, Colin,129818,260663,0,87301,0,14868,0,49374,0,0,0,97637,0,0,52628,195451,6923,4951,0,83,98,0,93,0,10,0,0,23,0,0,0,0,58,0,0,21,150,2,8
 E31-07M,C,M,SHAM, Colin,72572,127698,60443,178659,1640,22629,0,16660,0,0,10533,161751,0,0,37601,208833,0,981,0,49,81,31,178,1,17,0,47,6,0,0,0,8,92,0,0,15,113,0,2
 E32-02M,C,M,GDX, Colin,87418,175861,8062,132891,449,102784,0,15763,0,0,0,95383,0,0,5429,163224,109543,3193,0,42,37,5,117,1,23,0,0,8,1,0,0,0,41,0,0,2,62,8,6
 E32-05F,C,F,GDX, Colin,182238,84293,0,51766,0,13045,0,216849,0,0,0,72668,0,1046,9688,264815,0,3592,0,102,42,0,76,0,6,0,0,65,0,0,0,0,41,0,2,3,152,0,7
 E32-06F,C,F,SHAM, Colin,160659,121791,0,71177,305,12895,0,71020,554,0,0,114094,0,0,21704,321369,0,4432,0,110,66,0,112,1,6,0,0,36,1,1,0,0,52,0,0,6,181,0,6
 E32-07M,C,M,REP, Colin,197141,126986,0,44820,0,7577,0,5690,0,0,295,16292,0,0,129931,362742,0,8526,0,122,66,0,63,0,5,0,0,7,0,0,0,1,15,0,0,56,206,0,14
 E32-08F,C,F,REP, Colin,175356,164373,0,10832,0,0,0,131796,824,0,0,2943,0,0,38245,371537,0,4094,0,93,75,0,6,0,0,0,1,49,0,1,0,0,3,0,0,14,175,0,5
 E33-06M,C,M,SHAM, Colin,80997,126871,377,119261,0,8864,0,113205,0,0,0,119303,0,0,26890,297160,565,6507,0,62,78,1,144,0,7,0,0,25,0,0,0,0,75,0,0,13,159,1,8
 E33-08F,C,F,REP, Colin,134737,147473,0,55014,0,2672,0,167641,0,0,0,38193,0,0,51865,294608,0,7797,0,96,75,0,58,0,2,0,0,58,0,0,0,0,24,0,0,19,170,0,11
 E34-03F,C,F,REP, Colin,101453,168317,0,48574,0,14414,394,160952,0,0,0,73964,0,0,6164,324745,0,1023,0,96,70,0,80,0,2,1,0,35,0,0,0,0,41,0,0,5,171,0,3
 E34-04F,C,F,GDX, Colin,81142,260095,0,42282,0,1961,0,59038,0,0,1861,24508,0,0,105070,316671,864,6508,0,65,103,0,40,0,2,0,1,33,1,0,0,1,13,0,0,38,167,1,7
 E34-05M,C,M,REP, Colin,118948,131022,3901,111895,0,2154,0,96904,0,0,0,182020,0,0,44675,193477,7668,7336,0,75,49,3,128,0,3,0,0,11,0,0,0,0,87,0,0,20,110,4,9
 E34-07M,C,M,REP, Colin,96867,204894,1008,137684,0,20823,0,31953,89,0,854,140812,0,1431,23908,227565,8104,4008,0,73,81,2,141,0,15,0,14,11,0,2,0,2,96,0,1,17,150,1,8
 E34-08F,C,F,SHAM, Colin,173401,214005,0,31737,0,5256,6,83165,0,0,0,4381,0,0,8025,371769,0,8255,0,105,63,0,26,0,3,1,0,30,0,0,0,0,2,0,0,3,164,0,14
 E35-02F,C,F,GDX, Colin,99694,113984,272,124523,0,10900,777,9006,0,0,0,239455,0,0,31732,252581,12490,4586,0,55,55,1,133,0,6,1,0,6,0,0,0,0,96,0,0,8,111,2,6
 E35-06M,C,M,GDX, Colin,112249,136649,0,74842,0,75855,0,64995,0,0,0,154537,0,0,95476,178773,794,5830,0,69,46,0,85,0,17,0,0,15,0,0,0,0,48,0,0,18,92,1,9
 E35-07M,C,M,SHAM, Colin,122093,138248,1744,129666,5310,12694,0,12993,0,4493,43031,223177,0,0,71441,129670,0,5440,0,69,54,1,167,5,9,0,39,8,0,0,3,7,110,0,0,18,94,0,10
 E35-08F,C,F,SHAM, Colin,247940,115557,0,46832,0,22138,520,65816,0,0,0,46347,0,0,48677,299237,889,6047,0,122,56,0,51,0,11,1,0,36,1,0,0,0,31,0,0,26,180,1,13
 E36-03F,D,F,GDX, Colin,126304,155617,0,51983,1272,11563,0,156320,0,0,0,104800,0,0,14073,260920,14700,2448,0,81,63,0,72,1,7,0,0,62,0,0,0,0,55,0,0,11,146,6,4
 E36-03M,D,M,GDX, Colin,86296,158691,0,69049,0,33675,0,208126,0,0,32737,39751,0,0,56417,205929,0,9329,0,38,55,0,69,0,12,0,9,17,0,0,0,14,16,0,0,21,91,0,11
 E36-06M,D,M,REP, Colin,121929,231642,0,110353,0,23640,0,73324,0,0,469,49173,0,0,66388,208507,7651,6924,0,91,97,0,97,0,13,0,0,33,0,0,0,1,39,0,0,23,160,2,11
 E36-08F,D,F,SHAM, Colin,92278,166388,1434,75292,0,8965,0,4621,0,0,0,219249,0,0,17849,307223,0,6701,0,69,79,1,91,0,9,0,0,4,0,0,0,0,54,0,0,8,151,0,11
 E37-04M,D,M,SHAM, Colin,146866,90804,0,80045,0,12444,329,56725,0,0,83336,88171,0,0,80010,248120,4358,8792,0,62,55,0,88,0,5,1,12,14,1,0,0,12,50,0,0,17,107,2,9
 E37-05M,D,M,REP, Colin,269587,135712,0,124238,25018,33518,0,37207,643,0,0,48841,0,0,14204,198886,2000,10146,0,103,41,0,118,15,16,0,0,16,0,1,0,0,30,0,0,4,94,1,10
 E37-07M,D,M,GDX, Colin,151237,105998,1783,99910,0,31581,0,224871,0,0,0,54514,0,0,27519,177817,9473,15297,0,74,41,2,105,0,8,0,0,45,0,0,0,0,40,0,0,8,113,3,16
 E37-08M,D,M,GDX, Colin,288773,65047,0,109738,0,3459,0,89630,0,0,0,52721,0,0,43473,235865,0,11294,0,135,32,0,117,0,3,0,0,23,1,0,0,0,47,0,0,7,138,0,19
 E38-05M,D,M,GDX, Colin,49710,101284,7416,146428,4240,38938,0,10386,0,0,0,143746,0,0,175556,113692,108139,465,0,24,38,4,100,1,13,0,0,6,0,0,0,0,67,0,0,24,58,10,1
 E38-07F,D,F,GDX, Colin,222682,120968,5176,122920,0,10194,0,36176,0,0,0,98187,0,0,534,275499,0,7664,0,133,47,3,169,0,4,0,0,12,0,0,0,0,59,0,0,1,155,0,18
 E38-08F,D,F,REP, Colin,192133,96409,0,110210,675,10004,0,55899,0,0,0,89430,0,0,77174,259688,0,8378,0,123,59,0,96,1,3,0,0,34,0,0,0,0,53,0,0,31,168,0,13
 E39-03F,D,F,GDX, Colin,175203,240463,0,24065,0,2055,0,118942,0,0,0,16320,0,0,48207,266018,4242,4485,0,113,104,0,31,0,2,0,1,56,1,0,0,0,12,0,0,25,190,2,9
 E39-05M,D,M,SHAM, Colin,82449,149918,0,135264,0,19015,0,21275,0,0,3495,168328,0,1184,42436,275580,0,1056,0,74,88,0,156,0,11,0,12,11,0,0,0,2,90,0,1,18,162,0,2
 E39-07F,D,F,SHAM, Colin,158649,181953,0,17288,0,4086,0,60766,0,0,0,2264,0,0,91382,371095,0,12517,0,99,74,0,24,0,2,0,0,36,0,0,0,0,2,0,0,28,170,0,15
 E39-08M,D,M,REP, Colin,141371,181409,525,83483,0,14192,688,28523,0,0,0,100352,0,0,53937,281592,10514,3255,0,92,82,1,90,0,6,1,0,20,0,0,0,0,46,0,0,20,162,3,5
 E40-03F,D,F,SHAM, Colin,174424,190023,0,29844,0,882,0,66901,0,0,841,5697,0,0,742,426873,0,3773,0,112,73,0,44,0,1,0,0,32,0,0,0,1,9,0,0,2,183,0,10
