Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E1-04,T,M,PRE,Colin,121237,154567,9991,229960,0,956678,0,0,0,0,0,79567,0,1042,137163,107086,2709,0,0,33,53,3,109,0,78,0,0,0,1,0,0,0,37,0,1,10,48,1,0
 E1-05,T,F,PRE,Colin,116278,215792,13074,185712,16238,750728,0,17181,0,0,0,223625,0,0,44863,185351,20493,10665,1,33,51,8,75,1,45,0,0,4,0,0,0,0,55,0,0,8,60,5,8
 E11-03F,C,F,PRE,Colin,67365,191822,0,122482,4789,663227,0,153544,0,0,0,260229,0,0,0,163206,167065,6271,0,25,43,0,92,2,28,0,0,16,0,0,0,0,74,0,0,0,56,10,1
 E11-03M,C,M,PRE,Colin,43881,133549,0,79375,342447,896778,0,31084,0,0,0,13613,0,0,65865,46723,146685,0,0,11,29,0,40,15,25,0,0,2,0,0,0,0,12,0,0,4,20,2,0
 E11-13F,C,F,PRE,Colin,93429,135805,0,116865,185405,492055,13898,316313,0,0,2413,48860,0,0,0,167874,223795,3288,8,23,37,0,43,22,33,5,1,26,6,0,0,1,17,0,0,0,47,12,1
 E12-08M,T,M,PRE,Colin,130601,312557,0,178216,77414,461696,5949,63157,24037,776,121075,145078,0,0,33643,211976,29700,4125,1,37,58,0,104,22,48,6,0,6,32,12,1,36,55,0,0,6,72,2,2
 E12-10F,T,F,PRE,Colin,274459,25193,0,305390,0,567602,0,4411,400,0,0,260115,0,0,633,336407,13797,11593,1,116,25,0,228,0,78,0,0,2,0,1,0,0,107,0,0,1,139,4,15
 E12-12F,T,F,PRE,Colin,116165,314710,0,254367,5517,192537,8,74473,0,0,0,262095,0,17715,0,390486,168779,3148,0,60,76,0,188,3,37,1,0,10,0,0,0,0,115,0,14,0,132,23,6
 E13-AM,T,M,PRE,Colin,119014,181659,1519,218839,0,296006,0,39349,416,0,0,270186,0,0,144270,279447,244610,4685,0,54,45,1,153,0,43,0,4,10,3,1,0,0,104,0,0,24,92,31,5
 E13-BF,T,F,PRE,Colin,141391,243727,0,92992,0,241481,0,78223,0,0,0,88133,0,0,73827,399993,437547,2686,0,56,54,0,79,0,22,0,0,11,0,0,0,0,38,0,0,18,109,43,2
 E13-BM,T,M,PRE,Colin,254179,94742,0,309118,840,240311,0,43612,0,0,0,146424,0,0,12636,508167,184539,5432,0,147,53,0,234,1,34,0,0,15,0,0,0,0,72,0,0,7,206,9,8
 E13-CF,T,F,PRE,Colin,200203,193577,0,195694,920,303595,0,53154,0,0,0,107036,0,0,85953,320249,338979,640,0,78,78,0,119,1,45,0,2,12,0,0,0,0,65,0,0,27,139,39,1
 E13-DF,T,F,PRE,Colin,126425,165015,0,170563,9094,209243,1375,112214,576,0,1842,196031,0,0,130042,198873,471560,7147,0,54,49,0,135,3,26,1,1,26,0,1,0,2,82,0,0,16,98,35,7
